Pocillopora acuta
Pocillopora damicornis
Pocillopora eydouxi
Pocillopora verrucosa
Podabacia crustacea
Podabacia sinai
Porites annae
Porites columnaris
Porites echinulata
Porites fontanesii
Porites harrisoni
Porites lichen
Porites lobata
Porites lutea
Porites monticulosa
Porites nigrescens
Porites nodifera
Porites ornata
Porites profundus
Porites rus
Porites solida
Porites stephensoni
Porites vaughani
Psammocora contigua
Psammocora explanulata
Psammocora nierstraszi
Psammocora profundacella
Pseudosiderastrea tayamai
Sandalolitha africana
Sclerophyllia margariticola
Seriatopora caliendrum
Seriatopora hystrix
Siderastrea savignyana
Stylaraea punctata
Stylocoeniella armata
Stylocoeniella guentheri
Stylophora danae
Stylophora kuehlmanni
Stylophora mamillata
Stylophora pistillata
Stylophora subseriata
Stylophora wellsi
Symphyllia agaricia
Symphyllia erythraea
Symphyllia radians
Symphyllia recta
Symphyllia valenciennesi
Trachyphyllia geoffroyi
Turbinaria frondens
Turbinaria irregularis
Turbinaria mesenterina
Turbinaria reniformis
Turbinaria stellulata
